,50,10,20,25,30,40,60,70,75,80,90
Code,Median,10,20,25,30,40,60,70,75,80,90
K02000001,23484,7587,12159,14475,16288,19796,27700,32834,35879,39527,51373
K03000001,23561,7588,12183,14506,16327,19864,27817,32953,36000,39673,51667
K04000001,23609,7547,12142,14500,16313,19870,27907,33072,36181,39994,52122
E92000001,23761,7564,12187,14546,16373,19968,28047,33271,36430,40193,52746
E12000001,21736,7460,11722,13773,15550,18486,25116,29126,31980,35434,44511
E06000005,22518,x,x,x,16023,19812,25807,29932,x,x,x
E06000001,21279,x,x,x,x,x,x,x,x,x,x
E06000002,20217,6802,10377,12995,14735,17807,23635,27239,31572,34995,x
E06000003,20251,x,11844,13059,14817,16912,24695,27974,31477,x,x
E06000004,21940,6690,11707,13587,15635,18503,24764,28372,31319,33622,x
E06000047,21877,7872,12395,14466,15827,18385,25100,29854,32652,36054,x
E06000057,19661,5261,9111,10585,12199,15773,22268,26642,28425,32040,x
E11000007,22341,7858,12200,14351,15977,19156,25645,29637,32527,36169,46936
E08000037,20337,x,10757,12854,14461,17547,23506,26914,30406,32876,x
E08000021,24035,8493,13765,15786,17643,20713,27973,33662,37444,41158,x
E08000022,22423,7928,11926,14233,15624,18903,25572,28827,31105,34863,x
E08000023,19582,x,9990,11701,13726,16262,22368,26410,28938,32406,x
E08000024,22477,8851,12517,14319,16192,19283,25615,28712,31170,34197,x
E12000002,22103,7381,11850,14036,15778,18844,25875,30531,33473,36750,46560
E06000008,20166,7781,12228,13651,15577,17516,23666,27559,29790,32742,x
E06000009,18561,x,x,12048,13190,16150,22463,26282,28207,x,x
E06000006,24131,8163,13481,14427,16963,20381,28640,34179,37446,40000,x
E06000007,23491,x,13572,15246,17098,20675,27259,32595,35294,38369,x
E06000049,22664,6692,11187,13721,15962,19298,26683,31935,34819,39095,x
E06000050,21992,6809,10897,13470,15687,18458,25401,30695,33882,37853,x
E10000006,21465,6417,10255,12230,14568,17730,25480,30942,35225,39124,x
E07000026,19507,5400,8096,10036,13145,16022,22149,26129,28554,x,x
E07000027,x,x,x,x,x,x,x,35258,x,x,x
E07000028,19909,6177,9950,11967,13692,17062,22663,27242,30231,x,x
E07000029,43021,x,x,22555,26139,36401,46839,51248,51491,52773,x
E07000030,18705,x,10088,11184,13757,16295,22557,26635,28880,x,x
E07000031,x,x,x,x,x,x,x,x,x,x,x
E11000001,22628,7771,12451,14680,16336,19421,26471,30948,33718,36750,46714
E08000001,20015,7492,11391,13495,14815,17788,23538,27638,30084,33309,x
